Attribute,Frequency
n,1329
p,1000
o,701
pre,672
docutils literal notranslate,601
c1,533
s2,269
reference internal,233
highlight-default notranslate,206
highlight,206
s1,178
nb,123
section,105
headerlink,105
Permalink to this headline,105
std std-ref,82
kbd docutils literal notranslate,69
k,52
kn,38
ow,33
se,23
simple,21
reference external,21
nn,21
#id13,15
#id12,14
#attrs,13
#kwargs,13
kc,13
mi,12
#searching-the-tree,9
nf,9
sa,7
#navigating-the-tree,6
#limit,6
#installing-a-parser,5
#a-string,5
#a-regular-expression,5
#a-list,5
#a-function,5
#,4
#differences-between-parsers,4
#tag,4
#modifying-the-tree,4
#string,4
#kinds-of-filters,4
#unicode-dammit,4
#parser-installation,4
genindex.html,3
search,3
navigation,3
http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,3
#porting-code-to-bs4,3
#diagnose,3
#attributes,3
#multi-valued-attributes,3
#replace-with,3
#navigating-using-tag-names,3
#parent,3
#parents,3
#the-value-true,3
#encodings,3
#output-formatters,3
#parsing-only-part-of-a-document,3
#parsing-xml,3
nc,3
row-odd,3
stylesheet,2
text/css,2
search.html,2
related,2
related navigation,2
clearer,2
searchlabel,2
right,2
margin-right: 10px,2
nav-item nav-item-0,2
nav-item nav-item-this,2
General Index,2
,2
#getting-help,2
#quick-start,2
#installing-beautiful-soup,2
http://lxml.de/,2
#making-the-soup,2
#kinds-of-objects,2
#name,2
#navigablestring,2
#beautifulsoup,2
#comments-and-other-special-strings,2
#going-down,2
#contents-and-children,2
#descendants,2
#strings-and-stripped-strings,2
#going-up,2
#going-sideways,2
#next-sibling-and-previous-sibling,2
#next-siblings-and-previous-siblings,2
#going-back-and-forth,2
#next-element-and-previous-element,2
#next-elements-and-previous-elements,2
#true,2
#find-all,2
#recursive,2
#the-name-argument,2
#the-keyword-arguments,2
#searching-by-css-class,2
#the-string-argument,2
#the-limit-argument,2
#the-recursive-argument,2
#calling-a-tag-is-like-calling-find-all,2
#find,2
#find-parents-and-find-parent,2
#find-next-siblings-and-find-next-sibling,2
#sibling-generators,2
#find-previous-siblings-and-find-previous-sibling,2
#find-all-next-and-find-next,2
#element-generators,2
#find-all-previous-and-find-previous,2
#css-selectors,2
https://facelessuser.github.io/soupsieve/,2
#changing-tag-names-and-attributes,2
#modifying-string,2
#append,2
#extend,2
#navigablestring-and-new-tag,2
#insert,2
#insert-before-and-insert-after,2
#clear,2
#extract,2
#decompose,2
#wrap,2
#unwrap,2
#smooth,2
#output,2
#pretty-printing,2
#non-pretty-printing,2
#get-text,2
#string-generators,2
#specifying-the-parser-to-use,2
#output-encoding,2
#smart-quotes,2
#inconsistent-encodings,2
#line-numbers,2
#comparing-objects-for-equality,2
#copying-beautiful-soup-objects,2
#advanced-parser-customization,2
#soupstrainer,2
#customizing-multi-valued-attributes,2
#handling-duplicate-attributes,2
#instantiating-custom-subclasses,2
#troubleshooting,2
#errors-when-parsing-a-document,2
#version-mismatch-problems,2
#other-parser-problems,2
#miscellaneous,2
#improving-performance,2
#translating-this-documentation,2
#id18,2
#you-need-a-parser,2
#method-names,2
#generators,2
#xml,2
#entities,2
#id19,2
row-even,2
utf-8,1
viewport,1
"width=device-width, initial-scale=1.0",1
_static/classic.css,1
_static/pygments.css,1
index,1
Index,1
Search,1
documentation_options,1
./,1
_static/documentation_options.js,1
_static/jquery.js,1
_static/underscore.js,1
_static/doctools.js,1
_static/language_data.js,1
document,1
documentwrapper,1
bodywrapper,1
body,1
main,1
beautiful-soup-documentation,1
getting-help,1
quick-start,1
installing-beautiful-soup,1
installing-a-parser,1
making-the-soup,1
kinds-of-objects,1
tag,1
name,1
attributes,1
multi-valued-attributes,1
navigablestring,1
beautifulsoup,1
comments-and-other-special-strings,1
navigating-the-tree,1
going-down,1
navigating-using-tag-names,1
contents-and-children,1
descendants,1
string,1
strings-and-stripped-strings,1
going-up,1
parent,1
parents,1
going-sideways,1
next-sibling-and-previous-sibling,1
next-siblings-and-previous-siblings,1
going-back-and-forth,1
next-element-and-previous-element,1
next-elements-and-previous-elements,1
searching-the-tree,1
kinds-of-filters,1
a-string,1
a-regular-expression,1
a-list,1
true,1
a-function,1
find-all,1
the-name-argument,1
the-keyword-arguments,1
searching-by-css-class,1
the-string-argument,1
the-limit-argument,1
the-recursive-argument,1
calling-a-tag-is-like-calling-find-all,1
find,1
find-parents-and-find-parent,1
find-next-siblings-and-find-next-sibling,1
find-previous-siblings-and-find-previous-sibling,1
find-all-next-and-find-next,1
find-all-previous-and-find-previous,1
css-selectors,1
modifying-the-tree,1
changing-tag-names-and-attributes,1
modifying-string,1
append,1
extend,1
navigablestring-and-new-tag,1
insert,1
insert-before-and-insert-after,1
clear,1
extract,1
decompose,1
replace-with,1
wrap,1
unwrap,1
smooth,1
output,1
pretty-printing,1
non-pretty-printing,1
output-formatters,1
get-text,1
specifying-the-parser-to-use,1
differences-between-parsers,1
encodings,1
output-encoding,1
unicode-dammit,1
smart-quotes,1
inconsistent-encodings,1
line-numbers,1
comparing-objects-for-equality,1
copying-beautiful-soup-objects,1
advanced-parser-customization,1
parsing-only-part-of-a-document,1
soupstrainer,1
customizing-multi-valued-attributes,1
handling-duplicate-attributes,1
instantiating-custom-subclasses,1
troubleshooting,1
diagnose,1
errors-when-parsing-a-document,1
version-mismatch-problems,1
parsing-xml,1
other-parser-problems,1
miscellaneous,1
improving-performance,1
translating-this-documentation,1
id18,1
porting-code-to-bs4,1
you-need-a-parser,1
method-names,1
generators,1
xml,1
entities,1
id19,1
sphinxsidebar,1
main navigation,1
sphinxsidebarwrapper,1
note,1
source link,1
searchbox,1
display: none,1
searchformwrapper,1
footer,1
contentinfo,1
this-page-menu,1
I,1
#beautiful-soup-documentation,1
http://www.crummy.com/software/BeautifulSoup/,1
https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/,1
http://kondou.com/BS4/,1
https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/,1
https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr,1
https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/,1
https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,1
http://www.crummy.com/software/BeautifulSoup/download/4.x/,1
http://code.google.com/p/html5lib/,1
#id17,1
#multivalue,1
http://www.w3.org/TR/html5/syntax.html#syntax,1
http://wiki.python.org/moin/PrintFails,1
http://pypi.python.org/pypi/cchardet/,1
http://www.crummy.com/software/BeautifulSoup/bs3/download/3.x/BeautifulSoup-3.2.0.tar.gz,1
http://www.python.org/dev/peps/pep-0008/,1
_sources/index.rst.txt,1
nofollow,1
https://www.sphinx-doc.org/,1
manual,1
parser-installation,1
id5,1
multivalue,1
id6,1
string-generators,1
id7,1
id8,1
sibling-generators,1
element-generators,1
id9,1
id10,1
id11,1
the-value-true,1
id12,1
kwargs,1
attrs,1
id13,1
sd,1
limit,1
recursive,1
id14,1
prettyprinting,1
id15,1
bp,1
id16,1
id17,1
misc,1
"""The Fish-Footman began by producing from under his arm a great letter, nearly as large as himself.""",1
align-right,1
_images/6.1.jpg,1
docutils align-default,1
width: 18%,1
width: 35%,1
width: 26%,1
width: 21%,1
arabic simple,1
get,1
text,1
q,1
submit,1
Go,1
