Class,IDs Length,IDs
body,106,"beautiful-soup-documentation, getting-help, quick-start, installing-beautiful-soup, installing-a-parser, making-the-soup, kinds-of-objects, tag, name, attributes, multi-valued-attributes, navigablestring, beautifulsoup, comments-and-other-special-strings, navigating-the-tree, going-down, navigating-using-tag-names, contents-and-children, descendants, string, strings-and-stripped-strings, going-up, parent, parents, going-sideways, next-sibling-and-previous-sibling, next-siblings-and-previous-siblings, going-back-and-forth, next-element-and-previous-element, next-elements-and-previous-elements, searching-the-tree, kinds-of-filters, a-string, a-regular-expression, a-list, true, a-function, find-all, the-name-argument, the-keyword-arguments, searching-by-css-class, the-string-argument, the-limit-argument, the-recursive-argument, calling-a-tag-is-like-calling-find-all, find, find-parents-and-find-parent, find-next-siblings-and-find-next-sibling, find-previous-siblings-and-find-previous-sibling, find-all-next-and-find-next, find-all-previous-and-find-previous, css-selectors, modifying-the-tree, changing-tag-names-and-attributes, modifying-string, append, extend, navigablestring-and-new-tag, insert, insert-before-and-insert-after, clear, extract, decompose, replace-with, wrap, unwrap, smooth, output, pretty-printing, non-pretty-printing, output-formatters, get-text, specifying-the-parser-to-use, differences-between-parsers, encodings, output-encoding, unicode-dammit, smart-quotes, inconsistent-encodings, line-numbers, comparing-objects-for-equality, copying-beautiful-soup-objects, advanced-parser-customization, parsing-only-part-of-a-document, soupstrainer, customizing-multi-valued-attributes, handling-duplicate-attributes, instantiating-custom-subclasses, troubleshooting, diagnose, errors-when-parsing-a-document, version-mismatch-problems, parsing-xml, other-parser-problems, miscellaneous, improving-performance, translating-this-documentation, id18, porting-code-to-bs4, you-need-a-parser, method-names, generators, xml, entities, id19, searchbox"
bodywrapper,106,"beautiful-soup-documentation, getting-help, quick-start, installing-beautiful-soup, installing-a-parser, making-the-soup, kinds-of-objects, tag, name, attributes, multi-valued-attributes, navigablestring, beautifulsoup, comments-and-other-special-strings, navigating-the-tree, going-down, navigating-using-tag-names, contents-and-children, descendants, string, strings-and-stripped-strings, going-up, parent, parents, going-sideways, next-sibling-and-previous-sibling, next-siblings-and-previous-siblings, going-back-and-forth, next-element-and-previous-element, next-elements-and-previous-elements, searching-the-tree, kinds-of-filters, a-string, a-regular-expression, a-list, true, a-function, find-all, the-name-argument, the-keyword-arguments, searching-by-css-class, the-string-argument, the-limit-argument, the-recursive-argument, calling-a-tag-is-like-calling-find-all, find, find-parents-and-find-parent, find-next-siblings-and-find-next-sibling, find-previous-siblings-and-find-previous-sibling, find-all-next-and-find-next, find-all-previous-and-find-previous, css-selectors, modifying-the-tree, changing-tag-names-and-attributes, modifying-string, append, extend, navigablestring-and-new-tag, insert, insert-before-and-insert-after, clear, extract, decompose, replace-with, wrap, unwrap, smooth, output, pretty-printing, non-pretty-printing, output-formatters, get-text, specifying-the-parser-to-use, differences-between-parsers, encodings, output-encoding, unicode-dammit, smart-quotes, inconsistent-encodings, line-numbers, comparing-objects-for-equality, copying-beautiful-soup-objects, advanced-parser-customization, parsing-only-part-of-a-document, soupstrainer, customizing-multi-valued-attributes, handling-duplicate-attributes, instantiating-custom-subclasses, troubleshooting, diagnose, errors-when-parsing-a-document, version-mismatch-problems, parsing-xml, other-parser-problems, miscellaneous, improving-performance, translating-this-documentation, id18, porting-code-to-bs4, you-need-a-parser, method-names, generators, xml, entities, id19, searchbox"
bp,26,"manual, parser-installation, id5, multivalue, id6, string-generators, id7, id8, sibling-generators, element-generators, id9, id10, id11, the-value-true, id12, kwargs, attrs, id13, limit, recursive, id14, prettyprinting, id15, id16, id17, misc"
