Depth,Number of Tags,Tags
1,1,html
2,1,head
3,2,"title, link"
4,1,link
5,1,link
6,1,link
7,2,"link, meta"
8,13,"meta, meta, meta, meta, meta, meta, meta, meta, script, script, script, script, link"
9,1,link
10,1,link
11,8,"meta, meta, meta, meta, meta, meta, meta, meta"
12,1,meta
13,1,meta
14,3,"script, link, body"
15,12,"script, script, script, script, noscript, div, div, header, script, div, script, div"
16,4,"style, div, div, div"
17,11,"a, div, a, ol, div, form, ol, div, a, div, div"
18,19,"span, div, span, li, li, li, div, ol, div, li, li, li, li, a, svg, nav, div, div, div"
19,23,"a, a, a, li, li, li, li, li, input, svg, div, div, a, a, a, path, ol, div, div, div, div, div, link"
20,31,"a, a, a, a, a, path, div, div, span, div, div, div, div, div, div, div, div, svg, li, li, li, svg, div, p, a, p, p, p, a, svg, div"
21,30,"span, span, span, span, span, span, span, span, div, h3, div, ul, h3, div, h3, a, div, path, a, ol, ol, path, path, strong, path, path, g, div, div, div"
22,24,"div, a, div, li, li, a, a, a, div, li, li, li, li, li, li, li, div, path, h1, div, div, div, div, div"
23,27,"button, div, div, div, a, div, a, a, a, a, div, div, a, div, div, li, li, a, a, span, time, span, a, span, style, div, div"
24,26,"svg, a, a, a, span, div, span, svg, span, div, div, div, a, svg, span, strong, img, div, div, a, div, div, div, div, div, div"
25,23,"path, div, span, path, div, div, div, svg, path, a, a, a, div, div, div, div, div, div, div, a, div, a, div"
26,19,"path, svg, div, div, button, div, button, button, a, p, div, div, span, div, div, div, div, a, div"
27,22,"path, div, svg, svg, svg, svg, div, svg, div, div, div, div, div, div, div, div, div, div, div, div, a, div"
28,31,"svg, path, path, path, path, path, path, a, a, a, a, div, div, div, ul, a, span, a, h2, div, div, div, div, span, div, div, div, div, div, a, div"
29,31,"path, div, div, div, div, div, li, li, span, div, div, button, div, button, div, a, p, p, div, div, div, div, div, div, span, div, div, div, div, div, div"
30,52,"div, div, div, a, a, div, div, div, div, div, div, div, label, a, select, svg, svg, div, svg, code, code, code, strong, code, code, code, time, div, div, div, ul, a, span, a, button, div, button, div, a, p, div, div, div, div, div, div, span, div, div, div, a, div"
31,62,"a, a, button, span, div, a, div, span, a, div, div, div, div, div, option, option, option, option, path, path, svg, path, div, div, div, li, li, svg, svg, div, svg, kbd, kbd, time, div, div, div, ul, a, span, a, button, div, button, div, a, p, p, p, p, p, p, p, p, p, div, div, div, div, div, div, div"
32,102,"img, span, span, span, span, span, div, a, span, div, span, span, div, span, span, span, div, span, path, div, div, div, div, div, div, div, div, div, div, div, path, path, svg, path, div, div, div, li, li, li, li, li, svg, svg, div, svg, kbd, kbd, code, code, code, code, code, code, kbd, kbd, code, kbd, kbd, em, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, code, time, div, div, ul, a, span, a, button, div, button, div, a, ul, div, span, div, div, div, a, div"
33,73,"span, span, span, span, img, span, span, span, span, span, span, span, code, code, a, span, a, span, div, div, div, a, div, span, a, div, div, div, div, div, path, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, div, path, path, svg, path, div, div, svg, svg, div, svg, li, li, li, li, time, div, div, div, div, div, div, div, div, a, div"
