Tag,Depth,Previous Sibling,Number of Children,Full Tag,Full Previous Tag
meta,3,meta,0,"<meta content=""width=device-width, initial-scale=1.0"" name=""viewport""/>","<meta charset=""utf-8""/>"
title,4,meta,0,<title>Beautiful Soup Documentation — Beautiful Soup 4.9.0 documentation</title>,"<meta content=""width=device-width, initial-scale=1.0"" name=""viewport""/>"
link,4,title,0,"<link href=""_static/classic.css"" rel=""stylesheet"" type=""text/css""/>",<title>Beautiful Soup Documentation — Beautiful Soup 4.9.0 documentation</title>
link,4,link,0,"<link href=""_static/pygments.css"" rel=""stylesheet"" type=""text/css""/>","<link href=""_static/classic.css"" rel=""stylesheet"" type=""text/css""/>"
link,4,script,0,"<link href=""genindex.html"" rel=""index"" title=""Index""/>","<script src=""_static/language_data.js""></script>"
link,4,link,0,"<link href=""search.html"" rel=""search"" title=""Search""/>","<link href=""genindex.html"" rel=""index"" title=""Index""/>"
script,4,link,0,"<script data-url_root=""./"" id=""documentation_options"" src=""_static/documentation_options.js""></script>","<link href=""_static/pygments.css"" rel=""stylesheet"" type=""text/css""/>"
script,4,script,0,"<script src=""_static/jquery.js""></script>","<script data-url_root=""./"" id=""documentation_options"" src=""_static/documentation_options.js""></script>"
script,4,script,0,"<script src=""_static/underscore.js""></script>","<script src=""_static/jquery.js""></script>"
script,4,script,0,"<script src=""_static/doctools.js""></script>","<script src=""_static/underscore.js""></script>"
script,4,script,0,"<script src=""_static/language_data.js""></script>","<script src=""_static/doctools.js""></script>"
script,7,div,5,<script>$('#searchbox').show(0);</script>,"<div id=""searchbox"" role=""search"" style=""display: none"">
<h3 id=""searchlabel"">Quick search</h3>
<div class=""searchformwrapper"">
<form action=""search.html"" class=""search"" method=""get"">
<input aria-labelledby=""searchlabel"" name=""q"" type=""text""/>
<input type=""submit"" value=""Go""/>
</form>
</div>
</div>"
body,3,head,12,"<body>
<div aria-label=""related navigation"" class=""related"" role=""navigation"">
<h3>Navigation</h3>
<ul>
<li class=""right"" style=""margin-right: 10px"">
<a accesskey=""I"" href=""genindex.html"" title=""General Index"">index</a></li>
<li class=""nav-item nav-item-0""><a href=""#"">Beautiful Soup 4.9.0 documentation</a> »</li>
<li class=""nav-item nav-item-this""><a href="""">Beautiful Soup Documentation</a></li>
</ul>
</div>
<div class=""document"">
<div class=""documentwrapper"">
<div class=""bodywrapper"">
<div class=""body"" role=""main"">
<div class=""section"" id=""beautiful-soup-documentation"">
<span id=""manual""></span><h1>Beautiful Soup Documentation<a class=""headerlink"" href=""#beautiful-soup-documentation"" title=""Permalink to this headline"">¶</a></h1>
<img alt='""The Fish-Footman began by producing from under his arm a great letter, nearly as large as himself.""' class=""align-right"" src=""_images/6.1.jpg""/>
<p><a class=""reference external"" href=""http://www.crummy.com/software/BeautifulSoup/"">Beautiful Soup</a> is a
Python library for pulling data out of HTML and XML files. It works
with your favorite parser to provide idiomatic ways of navigating,
searching, and modifying the parse tree. It commonly saves programmers
hours or days of work.</p>
<p>These instructions illustrate all major features of Beautiful Soup 4,
with examples. I show you what the library is good for, how it works,
how to use it, how to make it do what you want, and what to do when it
violates your expectations.</p>
<p>This document covers Beautiful Soup version 4.11.0. The examples in
this documentation were written for Python 3.8.</p>
<p>You might be looking for the documentation for <a class=""reference external"" href=""http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html"">Beautiful Soup 3</a>.
If so, you should know that Beautiful Soup 3 is no longer being
developed and that all support for it was dropped on December
31, 2020. If you want to learn about the differences between Beautiful
Soup 3 and Beautiful Soup 4, see <a class=""reference internal"" href=""#porting-code-to-bs4"">Porting code to BS4</a>.</p>
<p>This documentation has been translated into other languages by
Beautiful Soup users:</p>
<ul class=""simple"">
<li><p><a class=""reference external"" href=""https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/"">这篇文档当然还有中文版.</a></p></li>
<li><p>このページは日本語で利用できます(<a class=""reference external"" href=""http://kondou.com/BS4/"">外部リンク</a>)</p></li>
<li><p><a class=""reference external"" href=""https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/"">이 문서는 한국어 번역도 가능합니다.</a></p></li>
<li><p><a class=""reference external"" href=""https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr"">Este documento também está disponível em Português do Brasil.</a></p></li>
<li><p><a class=""reference external"" href=""https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/"">Эта документация доступна на русском языке.</a></p></li>
</ul>
<div class=""section"" id=""getting-help"">
<h2>Getting help<a class=""headerlink"" href=""#getting-help"" title=""Permalink to this headline"">¶</a></h2>
<p>If you have questions about Beautiful Soup, or run into problems,
<a class=""reference external"" href=""https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup"">send mail to the discussion group</a>. If
your problem involves parsing an HTML document, be sure to mention
<a class=""reference internal"" href=""#diagnose""><span class=""std std-ref"">what the diagnose() function says</span></a> about
that document.</p>
</div>
</div>
<div class=""section"" id=""quick-start"">
<h1>Quick Start<a class=""headerlink"" href=""#quick-start"" title=""Permalink to this headline"">¶</a></h1>
<p>Here’s an HTML document I’ll be using as an example throughout this
document. It’s part of a story from <cite>Alice in Wonderland</cite>:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""n"">html_doc</span> <span class=""o"">=</span> <span class=""s2"">""""""&lt;html&gt;&lt;head&gt;&lt;title&gt;The Dormouse's story&lt;/title&gt;&lt;/head&gt;</span>
<span class=""s2"">&lt;body&gt;</span>
<span class=""s2"">&lt;p class=""title""&gt;&lt;b&gt;The Dormouse's story&lt;/b&gt;&lt;/p&gt;</span>

<span class=""s2"">&lt;p class=""story""&gt;Once upon a time there were three little sisters; and their names were</span>
<span class=""s2"">&lt;a href=""http://example.com/elsie"" class=""sister"" id=""link1""&gt;Elsie&lt;/a&gt;,</span>
<span class=""s2"">&lt;a href=""http://example.com/lacie"" class=""sister"" id=""link2""&gt;Lacie&lt;/a&gt; and</span>
<span class=""s2"">&lt;a href=""http://example.com/tillie"" class=""sister"" id=""link3""&gt;Tillie&lt;/a&gt;;</span>
<span class=""s2"">and they lived at the bottom of a well.&lt;/p&gt;</span>

<span class=""s2"">&lt;p class=""story""&gt;...&lt;/p&gt;</span>
<span class=""s2"">""""""</span>
</pre></div>
</div>
<p>Running the “three sisters” document through Beautiful Soup gives us a
<code class=""docutils literal notranslate""><span class=""pre"">BeautifulSoup</span></code> object, which represents the document as a nested
data structure:</p>
<div class=""highlight-default notranslate""><div class=""highlight""><pre><span></span><span class=""kn"">from</span> <span class=""nn"">bs4</span> <span class=""kn"">import</span> <span class=""n"">BeautifulSoup</span>
<span class=""n"">soup</span> <span class=""o"">=</span> <span class=""n"">BeautifulSoup</span><span class=""p"">(</span><span class=""n"">html_doc</span><span class=""p"">,</span> <span class=""s1"">'html.parser'</span><span class=""p"">)</span>

<span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">soup</span><span class=""o"">.</span><span class=""n"">prettify</span><span class=""p"">())</span>
<span class=""c1""># &lt;html&gt;</span>
<span class=""c1"">#  &lt;head&gt;</span>
<span class=""c1"">#   &lt;title&gt;</span>
<span class=""c1"">#    The Dormouse's story</span>
<span class=""c1"">#   &lt;/title&gt;</span>
<span class=""c1"">#  &lt;/head&gt;</span>
<span class=""c1"">#  &lt;body&gt;</span>
<span class=""c1"">#   &lt;p class=""title""&gt;</span>
<span class=""c1"">#    &lt;b&gt;</span>
<span class=""c1"">#     The Dormouse's story</span>
<span class=""c1"">#    &lt;/b&gt;</span>
<span class=""c1"">#   &lt;/p&gt;</span>
<span class=""c1"">#   &lt;p class=""story""&gt;</span>
<span class=""c1"">#    Once upon a time there were three little sisters; and their names were</span>
<span class=""c1"">#    &lt;a class=""sister"" href=""http://example.com/elsie"" id=""link1""&gt;</span>
<span class=""c1"">#     Elsie</span>
<span class=""c1"">#    &lt;/a&gt;</span>
<span class=""c1"">#    ,</span>
<span class=""c1"">#    &lt;a class=""sister"" href=""http://example.com/lacie"" id=""link2""&gt;</span>
<span class=""c1"">#     Lacie</span>
<span class=""c1"">#    &lt;/a&gt;</span>
<span class=""c1"">#    and</span>
<span class=""c1"">#    &lt;a class=""sister"" href=""http://example.com/tillie"" id=""link3""&gt;</span>
<span class=""c1"">#     Tillie</span>
<span class=""c1"">#    &lt;/a&gt;</span>
<span class=""c1"">#    ; and they lived at the bottom of a well.</span>
<span class=""c1"">#   &lt;/p&gt;</span>
<span class=""c1"">#   &lt;p class=""story""&gt;</span>
<span class=""c1"">#    ...</span>
<span class=""c1"">#   &lt;/p&gt;</span>
<span class=""c1"">#  &lt;/body&gt;</span>
<span class=""c1""># &lt;/html&gt;</span>
</pre></div>
</div>
<p>Here are some simple ways to navigate that data structure:</p>
